id,title_en,title_es,category_en,category_es,director,image_filename,synopsis_en,synopsis_es,trailer_url,featured,order
papeles,Papeles,Papeles,Feature Film,Largometraje,Arturo Montenegro,PAPELES.png,"A legal director's life unravels after the leak of millions of documents from a top offshore firm, forcing her to flee into the jungle while being pursued by Interpol.","La vida de una directora legal se desmorona tras la filtración de millones de documentos de una importante firma offshore, obligándola a huir a la selva mientras es perseguida por Interpol.",https://www.youtube.com/embed/pbYTzvo7ipE,true,1
la-boda,La Boda,La Boda,Feature Film,Largometraje,Pedro Cenjor,LA_BODA.jpg,"Felisa is a free-spirited woman in a rural town. Dependent on her mother and burdened by debts, she accepts a marriage of convenience with Sebastián—each planning to keep their guests' wedding gifts and then divorce. But life has other plans, and what starts as a scheme will change them forever.","Felisa es una mujer de espíritu libre en un entorno rural. Dependiente de su madre y cargada de deudas, acepta un matrimonio de conveniencia con Sebastián: cada uno se quedará el dinero de sus invitados y después se divorciarán. Pero la vida tiene otros planes, y lo que empieza como un plan les cambiará para siempre.",https://www.youtube.com/embed/qhnRnPUwYWg,true,2
la-ultima,La Última,La Última,Disney+ Original Series,Serie Original Disney+,Eduard Cortés,LA_ULTIMA.jpg,"Candela and Diego pursue their dreams in music and boxing, navigating love and challenges in Disney+'s first Spanish original series.","Candela y Diego persiguen sus sueños en la música y el boxeo, navegando el amor y los desafíos en la primera serie original española de Disney+.",https://www.youtube.com/embed/Vkerray6aJM,true,3
vast-of-night,The Vast of Night,The Vast of Night,Amazon Prime Film,Película Amazon Prime,Andrew Patterson,VAST_OF_NIGHT.jpg,"In 1950s New Mexico, a young switchboard operator and a radio DJ discover a mysterious audio frequency that interrupts phone lines and airwaves. As their small town focuses on a basketball game, the duo investigates the strange signal, uncovering unexplained military cover-ups and chilling stories that point to something beyond this world.","En el Nuevo México de los años 50, una joven operadora de central telefónica y un DJ de radio descubren una misteriosa frecuencia de audio que interrumpe las líneas telefónicas. Mientras el pueblo se concentra en un partido de baloncesto, el dúo investiga la extraña señal, destapando encubrimientos militares e historias escalofriantes que apuntan a algo más allá de este mundo.",https://www.youtube.com/embed/ZEiwpCJqMM0,true,4
la-espera,The Wait,La Espera,Feature Film,Largometraje,F. Javier Gutiérrez,LA_ESPERA.jpg,"Set in 1970s rural Andalusia, Eladio works as a gamekeeper on an isolated estate, his family's fate bound to the land for generations. When he accepts a bribe from a hunter, what seems like easy money spirals into a macabre descent into hell — a genre-bending rural thriller fusing horror and the fantastic under the suffocating Andalusian heat.","Ambientada en la Andalucía rural de los años 70, Eladio trabaja como guarda de una finca aislada, con el destino de su familia ligado a la tierra desde hace generaciones. Cuando acepta un soborno de un cazador, lo que parece dinero fácil se convierte en un macabro descenso a los infiernos — un thriller rural que fusiona el terror y lo fantástico bajo el asfixiante calor andaluz.",https://www.youtube.com/embed/VAQoQEr8t9s,true,5
muxes,Muxes,Muxes,HBO Original Documentary,Documental Original HBO,Alejandra Islas,HBO_MUXES.webp,"This intimate documentary chronicles the lives of five muxes — a widely recognized third gender in the Zapotec culture of Oaxaca, Mexico. Through their desires, joys, struggles and fight for recognition, the film explores what it means to be muxe in a world that often fails to understand them.","Este íntimo documental narra las vidas de cinco muxes — un tercer género ampliamente reconocido en la cultura zapoteca de Oaxaca, México. A través de sus deseos, alegrías, luchas y búsqueda de reconocimiento, la película explora lo que significa ser muxe en un mundo que a menudo no logra comprenderlos.",https://www.youtube.com/embed/rFC9P9Sk0eM,true,6
wandering-saint,Chronicles Of A Wandering Saint,Crónicas de una Santa Errante,Feature Film,Largometraje,Tomás Gómez Bustillo,wandering_saint.jpg,"A pious woman in a small town believes orchestrating a miracle is her path to sainthood, leading to a magical realist journey.","Una mujer piadosa en un pequeño pueblo cree que orquestar un milagro es su camino a la santidad, lo que lleva a un viaje de realismo mágico.",https://www.youtube.com/embed/vo30jxA0JSk,true,7
el-santo,El Santo,El Santo,Feature Film,Largometraje,Agustín Carbonere,EL SANTO.png,"The rise and fall of Rubén, a neighborhood healer who becomes a popular icon and saint in the eyes of his community.","El ascenso y la caída de Rubén, un curandero de barrio que se convierte en un icono popular y santo a los ojos de su comunidad.",,false,8
se-busca,Missing,Se Busca,Short Series,Serie Corta,Mariano Pozzi,,"An anthology series inspired by real cases of children illegally appropriated during the Argentinian dictatorship.","Una serie antológica inspirada en casos reales de niños apropiados ilegalmente durante la dictadura argentina.",,false,9
noche-adela,One Night With Adela,Una Noche con Adela,Feature Film,Largometraje,Hugo Ruiz,UNA_NOCHE_CON_ADELA.jpg,"A disturbed street sweeper embarks on a meticulous plan for brutal revenge in this intense character study.","Una barrendera de calle perturbada emprende un plan meticuloso de venganza brutal en este intenso estudio de personaje.",,false,10
cuentame,Cuéntame cómo pasó,Cuéntame cómo pasó,TV Series,Serie de TV,RTVE,,"The legendary Spanish series follows the Alcántara family through the history of Spain, with seasons 22 and 23 covering the 90s to 2001.","La legendaria serie española sigue a la familia Alcántara a través de la historia de España, con las temporadas 22 y 23 cubriendo de los 90 a 2001.",,false,11
hit,HIT,HIT,TV Series,Serie de TV,Joaquín Oristrell,,"A complex teacher uses unorthodox methods to help students face real-world challenges and trauma.","Un profesor complejo utiliza métodos poco ortodoxos para ayudar a sus alumnos a enfrentar desafíos y traumas del mundo real.",,false,12
